Event Number,HT,MET,MR,Rsq,Dark Photon Produced
59416,23.87067858538197,0.0,13999.999999986529,0.0,False
251203,33.232349855778374,0.0,14000.000003432073,0.0,False
483960,36.31871600539702,0.0,13999.999999970389,0.0,False
128700,153.15280238182976,0.0,14000.000002616409,0.0,False
425410,32.53110557277619,0.0,13999.999999999394,0.0,False
292870,77.68881058639053,0.0,14000.000002250945,0.0,False
24187,131.69064123261495,0.0,13999.999857397032,0.0,False
314265,111.07143712671191,0.0,14000.000000004762,0.0,False
232498,284.5514209682769,0.0,14000.000000617034,0.0,False
451682,21.224198469872977,0.0,14000.000000000118,0.0,False
291519,55.37568271009103,0.0,13999.999999999844,0.0,False
20765,30.39671252872338,0.0,14000.000000000004,0.0,False
109209,36.608554355784584,0.0,13999.999999999956,0.0,False
279505,36.13167379192043,0.0,14000.000000003536,0.0,False
417936,184.83671884565575,0.0,14000.0000000582,0.0,False
52933,106.14383379971238,0.0,13999.999999813645,0.0,False
233366,39.0322995394123,0.0,14000.000000000016,0.0,False
5969,29.652008179047687,0.0,14000.000000000002,0.0,False
206187,153.29458777913956,0.2902128287776926,13945.889161036592,9.14978736008872e-07,False
172887,33.226607899226366,0.0,13999.999999999996,0.0,False
393804,46.49034403034229,0.0,13999.999999999956,0.0,False
378513,104.88146296461532,0.0,13999.999999991904,0.0,False
38384,81.38864924694853,0.0,14000.00000000604,0.0,False
127576,211.57427815822007,0.5692880298605976,13999.047786141997,2.458430409900741e-06,False
428202,30.161681194486935,0.0,14000.000000000004,0.0,False
18636,24.090523500229757,0.0,14000.000000005572,0.0,False
297827,55.90368457624134,0.0,14000.000000002916,0.0,False
204336,110.21174683020652,0.0,14000.000000054564,0.0,False
334901,76.63562116924243,0.0,13999.999985487524,0.0,False
196564,66.91187223133838,0.0,13999.99999965562,0.0,False
208705,23.119240704372203,0.0,13999.999999999667,0.0,False
409742,52.84924739914404,0.0,14000.000000000007,0.0,False
135578,197.75917387077104,0.0,13999.999999988204,0.0,False
213420,35.185783648194764,0.5662458472786529,13987.825039189134,4.073163715504337e-07,False
371802,30.054782412521774,0.0,13999.999957254244,0.0,False
57331,137.01676015921424,0.0,13999.999999991149,0.0,False
453046,32.44625636873315,0.0,14000.0,0.0,False
438354,45.72135051499879,0.0,14000.000000000971,0.0,False
17719,154.5018230881958,0.0,13999.999999766182,0.0,False
73914,41.293989328495215,0.0,13999.999999999196,0.0,False
324343,41.23835739540463,0.0,13999.99999999889,0.0,False
118932,84.8945854135935,0.0,14000.00000000147,0.0,False
433004,52.485317323204384,0.0,14000.000001404982,0.0,False
466757,149.77387515830156,0.0,13999.999999882904,0.0,False
